field_1,field_2,X,field_4,Y,field_6,field_7,field_8,field_9,field_10,field_11,field_12,field_13,field_14,field_15
$GPGGA,191619,48.592717,N,17.200502,E,1,6,,105,M,4859.2717,1720.0502,,*59
$GPGGA,191624,48.592431,N,17.200233,E,1,6,,136,M,4859.2431,1720.0233,,*55
$GPGGA,191629,48.592367,N,17.200208,E,1,6,,146,M,4859.2367,1720.0208,,*53
$GPGGA,191634,48.592316,N,17.200208,E,1,6,,150,M,4859.2316,1720.0208,,*5E
$GPGGA,191639,48.592294,N,17.200226,E,1,6,,151,M,4859.2294,1720.0226,,*55
$GPGGA,191644,48.592278,N,17.200243,E,1,6,,153,M,4859.2278,1720.0243,,*5C
$GPGGA,191649,48.592245,N,17.200236,E,1,6,,155,M,4859.2245,1720.0236,,*5B
$GPGGA,191654,48.592216,N,17.200228,E,1,6,,156,M,4859.2216,1720.0228,,*5D
$GPGGA,191659,48.592216,N,17.200238,E,1,6,,156,M,4859.2216,1720.0238,,*51
$GPGGA,191704,48.592216,N,17.200248,E,1,6,,156,M,4859.2216,1720.0248,,*5F
$GPGGA,191709,48.592218,N,17.200251,E,1,6,,158,M,4859.2218,1720.0251,,*5A
$GPGGA,191714,48.592209,N,17.200321,E,1,6,,161,M,4859.2209,1720.0321,,*5A
$GPGGA,191719,48.592204,N,17.200341,E,1,6,,162,M,4859.2204,1720.0341,,*5F
$GPGGA,191724,48.592191,N,17.200352,E,1,6,,163,M,4859.2191,1720.0352,,*5D
$GPGGA,191729,48.592159,N,17.200353,E,1,6,,164,M,4859.2159,1720.0353,,*52
$GPGGA,191734,48.592142,N,17.200347,E,1,6,,164,M,4859.2142,1720.0347,,*51
$GPGGA,191739,48.592181,N,17.200344,E,1,4,,164,M,4859.2181,1720.0344,,*52
$GPGGA,191744,48.592163,N,17.200388,E,1,5,,164,M,4859.2163,1720.0388,,*55
$GPGGA,191749,48.592147,N,17.200424,E,1,6,,164,M,4859.2147,1720.0424,,*5C
$GPGGA,191754,48.592175,N,17.200435,E,1,6,,164,M,4859.2175,1720.0435,,*51
$GPGGA,191759,48.592163,N,17.20043,E,1,6,,164,M,4859.2163,1720.043,,*5E
$GPGGA,191804,48.59217,N,17.20044,E,1,7,,164,M,4859.217,1720.044,,*5D
$GPGGA,191812,48.592181,N,17.200431,E,1,7,,164,M,4859.2181,1720.0431,,*52
$GPGGA,191817,48.592202,N,17.200472,E,1,7,,164,M,4859.2202,1720.0472,,*58
$GPGGA,191822,48.592202,N,17.200475,E,1,7,,164,M,4859.2202,1720.0475,,*59
$GPGGA,191827,48.592197,N,17.200492,E,1,7,,164,M,4859.2197,1720.0492,,*5A
$GPGGA,191832,48.592197,N,17.20052,E,1,8,,164,M,4859.2197,1720.052,,*59
$GPGGA,191837,48.592202,N,17.200528,E,1,8,,164,M,4859.2202,1720.0528,,*5B
$GPGGA,191842,48.592241,N,17.200533,E,1,8,,164,M,4859.2241,1720.0533,,*54
$GPGGA,191847,48.592264,N,17.200539,E,1,8,,164,M,4859.2264,1720.0539,,*5C
$GPGGA,191852,48.592268,N,17.200522,E,1,8,,164,M,4859.2268,1720.0522,,*5E
$GPGGA,191857,48.592273,N,17.200499,E,1,8,,163,M,4859.2273,1720.0499,,*57
$GPGGA,191902,48.592278,N,17.200465,E,1,9,,164,M,4859.2278,1720.0465,,*58
$GPGGA,191907,48.592282,N,17.200423,E,1,9,,164,M,4859.2282,1720.0423,,*5A
$GPGGA,191912,48.592289,N,17.200378,E,1,8,,165,M,4859.2289,1720.0378,,*5C
$GPGGA,191917,48.592294,N,17.200353,E,1,9,,166,M,4859.2294,1720.0353,,*5E
$GPGGA,191922,48.592255,N,17.200349,E,1,7,,168,M,4859.2255,1720.0349,,*5E
$GPGGA,191927,48.592257,N,17.200343,E,1,9,,166,M,4859.2257,1720.0343,,*53
